-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_LW_DWN
-17.5,-63.5,2024,300,34.69
-17.5,-62.5,2024,300,35.44
-16.5,-63.5,2024,300,35.93
-16.5,-62.5,2024,300,35.7
-18.5,-63.5,2024,301,32.68
-18.5,-62.5,2024,301,35.17
-17.5,-63.5,2024,301,34.9
-17.5,-62.5,2024,301,35.92
-16.5,-63.5,2024,301,36.57
-16.5,-62.5,2024,301,36.59
-18.5,-63.5,2024,302,34.69
-18.5,-62.5,2024,302,37.04
-17.5,-63.5,2024,302,36.72
-17.5,-62.5,2024,302,37.4
-16.5,-63.5,2024,302,38.27
-16.5,-62.5,2024,302,38.06
-18.5,-63.5,2024,303,34.75
-18.5,-62.5,2024,303,37.45
-17.5,-63.5,2024,303,36.8
-17.5,-62.5,2024,303,37.04
-16.5,-63.5,2024,303,38.01
-16.5,-62.5,2024,303,37.19
-18.5,-63.5,2024,304,34.0
-18.5,-62.5,2024,304,36.85
-17.5,-63.5,2024,304,36.07
-17.5,-62.5,2024,304,36.84
-16.5,-63.5,2024,304,37.36
-16.5,-62.5,2024,304,36.83
-18.5,-63.5,2024,305,33.28
-18.5,-62.5,2024,305,36.39
-17.5,-63.5,2024,305,36.16
-17.5,-62.5,2024,305,36.38
-16.5,-63.5,2024,305,37.03
-16.5,-62.5,2024,305,36.26
-18.5,-63.5,2024,306,34.46
-18.5,-62.5,2024,306,36.91
-17.5,-63.5,2024,306,36.63
-17.5,-62.5,2024,306,37.1
-16.5,-63.5,2024,306,37.1
-16.5,-62.5,2024,306,36.52
-18.5,-63.5,2024,307,34.21
-18.5,-62.5,2024,307,37.82
-17.5,-63.5,2024,307,37.32
-17.5,-62.5,2024,307,37.72
-16.5,-63.5,2024,307,37.42
-16.5,-62.5,2024,307,36.72
-18.5,-63.5,2024,308,34.84
-18.5,-62.5,2024,308,37.2
-17.5,-63.5,2024,308,36.14
-17.5,-62.5,2024,308,36.68
-16.5,-63.5,2024,308,36.68
-16.5,-62.5,2024,308,36.56
-18.5,-63.5,2024,309,33.94
-18.5,-62.5,2024,309,37.02
-17.5,-63.5,2024,309,36.79
-17.5,-62.5,2024,309,36.52
-16.5,-63.5,2024,309,36.95
-16.5,-62.5,2024,309,36.56
-18.5,-63.5,2024,310,34.99
-18.5,-62.5,2024,310,37.82
-17.5,-63.5,2024,310,36.69
-17.5,-62.5,2024,310,37.76
-16.5,-63.5,2024,310,37.37
-16.5,-62.5,2024,310,37.2
-18.5,-63.5,2024,311,34.23
-18.5,-62.5,2024,311,36.38
-17.5,-63.5,2024,311,36.53
-17.5,-62.5,2024,311,36.29
-16.5,-63.5,2024,311,36.71
-16.5,-62.5,2024,311,36.37
-18.5,-63.5,2024,312,34.85
-18.5,-62.5,2024,312,37.49
-17.5,-63.5,2024,312,36.85
-17.5,-62.5,2024,312,37.1
-16.5,-63.5,2024,312,37.33
-16.5,-62.5,2024,312,36.75
-18.5,-63.5,2024,313,34.3
-18.5,-62.5,2024,313,36.47
-17.5,-63.5,2024,313,36.17
-17.5,-62.5,2024,313,36.13
-16.5,-63.5,2024,313,36.22
-16.5,-62.5,2024,313,35.62
-18.5,-63.5,2024,314,33.68
-18.5,-62.5,2024,314,35.03
-17.5,-63.5,2024,314,35.31
-17.5,-62.5,2024,314,34.88
-16.5,-63.5,2024,314,35.52
-16.5,-62.5,2024,314,34.54
-18.5,-63.5,2024,315,31.76
-18.5,-62.5,2024,315,35.15
-17.5,-63.5,2024,315,35.67
-17.5,-62.5,2024,315,35.61
-16.5,-63.5,2024,315,36.19
-16.5,-62.5,2024,315,35.54
-18.5,-63.5,2024,316,33.95
-18.5,-62.5,2024,316,37.4
-17.5,-63.5,2024,316,38.06
-17.5,-62.5,2024,316,37.78
-16.5,-63.5,2024,316,37.92
-16.5,-62.5,2024,316,37.5
-18.5,-63.5,2024,317,32.57
-18.5,-62.5,2024,317,34.36
-17.5,-63.5,2024,317,34.0
-17.5,-62.5,2024,317,34.32
-16.5,-63.5,2024,317,34.69
-16.5,-62.5,2024,317,34.17
-18.5,-63.5,2024,318,29.82
-18.5,-62.5,2024,318,32.14
-17.5,-63.5,2024,318,32.7
-17.5,-62.5,2024,318,33.11
-16.5,-63.5,2024,318,34.02
-16.5,-62.5,2024,318,33.81
-18.5,-63.5,2024,319,30.03
-18.5,-62.5,2024,319,32.48
-17.5,-63.5,2024,319,33.03
-17.5,-62.5,2024,319,33.51
-16.5,-63.5,2024,319,34.8
-16.5,-62.5,2024,319,35.46
-18.5,-63.5,2024,320,32.93
-18.5,-62.5,2024,320,35.0
-17.5,-63.5,2024,320,35.98
-17.5,-62.5,2024,320,35.99
-16.5,-63.5,2024,320,36.55
-16.5,-62.5,2024,320,36.26
-18.5,-63.5,2024,321,33.34
-18.5,-62.5,2024,321,36.47
-17.5,-63.5,2024,321,36.31
-17.5,-62.5,2024,321,36.75
-16.5,-63.5,2024,321,36.69
-16.5,-62.5,2024,321,36.62
