-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-17.5,-63.5,2024,300,26.12
-17.5,-62.5,2024,300,25.96
-16.5,-63.5,2024,300,26.02
-16.5,-62.5,2024,300,25.89
-18.5,-63.5,2024,301,27.23
-18.5,-62.5,2024,301,26.93
-17.5,-63.5,2024,301,26.95
-17.5,-62.5,2024,301,26.66
-16.5,-63.5,2024,301,26.33
-16.5,-62.5,2024,301,26.22
-18.5,-63.5,2024,302,27.39
-18.5,-62.5,2024,302,26.84
-17.5,-63.5,2024,302,27.0
-17.5,-62.5,2024,302,26.6
-16.5,-63.5,2024,302,26.5
-16.5,-62.5,2024,302,26.58
-18.5,-63.5,2024,303,27.51
-18.5,-62.5,2024,303,27.15
-17.5,-63.5,2024,303,27.03
-17.5,-62.5,2024,303,26.86
-16.5,-63.5,2024,303,27.0
-16.5,-62.5,2024,303,27.34
-18.5,-63.5,2024,304,28.18
-18.5,-62.5,2024,304,27.79
-17.5,-63.5,2024,304,27.72
-17.5,-62.5,2024,304,27.54
-16.5,-63.5,2024,304,27.46
-16.5,-62.5,2024,304,27.66
-18.5,-63.5,2024,305,28.28
-18.5,-62.5,2024,305,27.84
-17.5,-63.5,2024,305,27.77
-17.5,-62.5,2024,305,27.51
-16.5,-63.5,2024,305,27.41
-16.5,-62.5,2024,305,27.61
-18.5,-63.5,2024,306,26.5
-18.5,-62.5,2024,306,25.22
-17.5,-63.5,2024,306,26.07
-17.5,-62.5,2024,306,25.0
-16.5,-63.5,2024,306,24.52
-16.5,-62.5,2024,306,24.9
-18.5,-63.5,2024,307,28.07
-18.5,-62.5,2024,307,25.06
-17.5,-63.5,2024,307,27.43
-17.5,-62.5,2024,307,24.89
-16.5,-63.5,2024,307,24.38
-16.5,-62.5,2024,307,24.35
-18.5,-63.5,2024,308,28.01
-18.5,-62.5,2024,308,26.42
-17.5,-63.5,2024,308,27.42
-17.5,-62.5,2024,308,26.35
-16.5,-63.5,2024,308,26.3
-16.5,-62.5,2024,308,25.75
-18.5,-63.5,2024,309,28.58
