-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-16.35,-62.23,2024,309,-999.0
-18.73,-64.3,2024,310,-999.0
-18.73,-62.23,2024,310,-999.0
-16.35,-64.3,2024,310,-999.0
-16.35,-62.23,2024,310,-999.0
-18.73,-64.3,2024,311,-999.0
-18.73,-62.23,2024,311,-999.0
-16.35,-64.3,2024,311,-999.0
-16.35,-62.23,2024,311,-999.0
-18.73,-64.3,2024,312,-999.0
-18.73,-62.23,2024,312,-999.0
-16.35,-64.3,2024,312,-999.0
-16.35,-62.23,2024,312,-999.0
-18.73,-64.3,2024,313,-999.0
-18.73,-62.23,2024,313,-999.0
-16.35,-64.3,2024,313,-999.0
-16.35,-62.23,2024,313,-999.0
-18.73,-64.3,2024,314,-999.0
-18.73,-62.23,2024,314,-999.0
-16.35,-64.3,2024,314,-999.0
-16.35,-62.23,2024,314,-999.0
-18.73,-64.3,2024,315,-999.0
-18.73,-62.23,2024,315,-999.0
-16.35,-64.3,2024,315,-999.0
-16.35,-62.23,2024,315,-999.0
-18.73,-64.3,2024,316,-999.0
-18.73,-62.23,2024,316,-999.0
-16.35,-64.3,2024,316,-999.0
-16.35,-62.23,2024,316,-999.0
-18.73,-64.3,2024,317,-999.0
-18.73,-62.23,2024,317,-999.0
-16.35,-64.3,2024,317,-999.0
-16.35,-62.23,2024,317,-999.0
-18.73,-64.3,2024,318,-999.0
-18.73,-62.23,2024,318,-999.0
-16.35,-64.3,2024,318,-999.0
-16.35,-62.23,2024,318,-999.0
-18.73,-64.3,2024,319,-999.0
-18.73,-62.23,2024,319,-999.0
-16.35,-64.3,2024,319,-999.0
-16.35,-62.23,2024,319,-999.0
-18.73,-64.3,2024,320,-999.0
-18.73,-62.23,2024,320,-999.0
-16.35,-64.3,2024,320,-999.0
-16.35,-62.23,2024,320,-999.0
-18.73,-64.3,2024,321,-999.0
-18.73,-62.23,2024,321,-999.0
-16.35,-64.3,2024,321,-999.0
-16.35,-62.23,2024,321,-999.0
-18.73,-64.3,2024,322,-999.0
-18.73,-62.23,2024,322,-999.0
-16.35,-64.3,2024,322,-999.0
-16.35,-62.23,2024,322,-999.0
-18.73,-64.3,2024,323,-999.0
-18.73,-62.23,2024,323,-999.0
-16.35,-64.3,2024,323,-999.0
-16.35,-62.23,2024,323,-999.0
-18.73,-64.3,2024,324,-999.0
-18.73,-62.23,2024,324,-999.0
-16.35,-64.3,2024,324,-999.0
-16.35,-62.23,2024,324,-999.0
-18.73,-64.3,2024,325,-999.0
-18.73,-62.23,2024,325,-999.0
-16.35,-64.3,2024,325,-999.0
-16.35,-62.23,2024,325,-999.0
-18.73,-64.3,2024,326,-999.0
-18.73,-62.23,2024,326,-999.0
-16.35,-64.3,2024,326,-999.0
-16.35,-62.23,2024,326,-999.0
-18.73,-64.3,2024,327,-999.0
-18.73,-62.23,2024,327,-999.0
-16.35,-64.3,2024,327,-999.0
-16.35,-62.23,2024,327,-999.0
-18.73,-64.3,2024,328,-999.0
-18.73,-62.23,2024,328,-999.0
-16.35,-64.3,2024,328,-999.0
-16.35,-62.23,2024,328,-999.0
-18.73,-64.3,2024,329,-999.0
-18.73,-62.23,2024,329,-999.0
-16.35,-64.3,2024,329,-999.0
-16.35,-62.23,2024,329,-999.0
-18.73,-64.3,2024,330,-999.0
-18.73,-62.23,2024,330,-999.0
-16.35,-64.3,2024,330,-999.0
-16.35,-62.23,2024,330,-999.0
-18.73,-64.3,2024,331,-999.0
-18.73,-62.23,2024,331,-999.0
-16.35,-64.3,2024,331,-999.0
-16.35,-62.23,2024,331,-999.0
-18.73,-64.3,2024,332,-999.0
-18.73,-62.23,2024,332,-999.0
-16.35,-64.3,2024,332,-999.0
