-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-18.5,-63.5,2022,277,10.09
-18.5,-62.5,2022,277,8.87
-17.5,-63.5,2022,277,9.65
-17.5,-62.5,2022,277,8.74
-16.5,-63.5,2022,277,8.21
-16.5,-62.5,2022,277,8.3
-18.5,-63.5,2022,278,10.52
-18.5,-62.5,2022,278,10.65
-17.5,-63.5,2022,278,9.79
-17.5,-62.5,2022,278,9.9
-16.5,-63.5,2022,278,8.36
-16.5,-62.5,2022,278,8.7
-18.5,-63.5,2022,279,8.99
-18.5,-62.5,2022,279,8.45
-17.5,-63.5,2022,279,8.7
-17.5,-62.5,2022,279,5.45
-16.5,-63.5,2022,279,6.65
-16.5,-62.5,2022,279,6.03
-18.5,-63.5,2022,280,10.67
-18.5,-62.5,2022,280,8.57
-17.5,-63.5,2022,280,8.64
-17.5,-62.5,2022,280,7.74
-16.5,-63.5,2022,280,7.02
-16.5,-62.5,2022,280,6.74
-18.5,-63.5,2022,281,12.13
-18.5,-62.5,2022,281,12.32
-17.5,-63.5,2022,281,12.04
-17.5,-62.5,2022,281,12.12
-16.5,-63.5,2022,281,11.9
-16.5,-62.5,2022,281,11.7
-18.5,-63.5,2022,282,5.65
-18.5,-62.5,2022,282,10.54
-17.5,-63.5,2022,282,7.69
-17.5,-62.5,2022,282,9.44
-16.5,-63.5,2022,282,9.18
-16.5,-62.5,2022,282,9.64
-18.5,-63.5,2022,283,4.24
-18.5,-62.5,2022,283,5.39
-17.5,-63.5,2022,283,5.55
-17.5,-62.5,2022,283,9.63
-16.5,-63.5,2022,283,9.91
-16.5,-62.5,2022,283,9.73
-18.5,-63.5,2022,284,3.87
-18.5,-62.5,2022,284,3.05
-17.5,-63.5,2022,284,3.81
-17.5,-62.5,2022,284,5.35
-16.5,-63.5,2022,284,5.78
-16.5,-62.5,2022,284,8.93
-18.5,-63.5,2022,285,5.56
-18.5,-62.5,2022,285,4.51
-17.5,-63.5,2022,285,4.52
-17.5,-62.5,2022,285,6.93
-16.5,-63.5,2022,285,8.13
-16.5,-62.5,2022,285,7.88
-18.5,-63.5,2022,286,8.69
-18.5,-62.5,2022,286,7.83
-17.5,-63.5,2022,286,7.36
-17.5,-62.5,2022,286,7.98
-16.5,-63.5,2022,286,7.72
-16.5,-62.5,2022,286,7.73
-18.5,-63.5,2022,287,6.58
-18.5,-62.5,2022,287,6.55
-17.5,-63.5,2022,287,6.48
-17.5,-62.5,2022,287,5.28
-16.5,-63.5,2022,287,5.31
-16.5,-62.5,2022,287,4.8
-18.5,-63.5,2022,288,9.52
-18.5,-62.5,2022,288,10.04
-17.5,-63.5,2022,288,11.08
-17.5,-62.5,2022,288,9.36
-16.5,-63.5,2022,288,9.62
-16.5,-62.5,2022,288,8.15
-18.5,-63.5,2022,289,8.55
-18.5,-62.5,2022,289,9.58
-17.5,-63.5,2022,289,10.87
-17.5,-62.5,2022,289,9.52
-16.5,-63.5,2022,289,10.4
-16.5,-62.5,2022,289,9.14
-18.5,-63.5,2022,290,9.01
-18.5,-62.5,2022,290,10.98
-17.5,-63.5,2022,290,10.61
-17.5,-62.5,2022,290,11.83
-16.5,-63.5,2022,290,10.4
-16.5,-62.5,2022,290,9.59
-18.5,-63.5,2022,291,3.88
-18.5,-62.5,2022,291,4.1
-17.5,-63.5,2022,291,8.4
-17.5,-62.5,2022,291,5.96
-16.5,-63.5,2022,291,9.87
-16.5,-62.5,2022,291,7.2
-18.5,-63.5,2022,292,7.1
-18.5,-62.5,2022,292,7.97
-17.5,-63.5,2022,292,8.1
-17.5,-62.5,2022,292,10.6
-16.5,-63.5,2022,292,10.29
-16.5,-62.5,2022,292,10.16
-18.5,-63.5,2022,293,8.11
-18.5,-62.5,2022,293,8.14
-17.5,-63.5,2022,293,9.8
-17.5,-62.5,2022,293,9.61
-16.5,-63.5,2022,293,9.91
-16.5,-62.5,2022,293,8.26
-18.5,-63.5,2022,294,8.76
-18.5,-62.5,2022,294,9.37
-17.5,-63.5,2022,294,6.84
-17.5,-62.5,2022,294,7.45
-16.5,-63.5,2022,294,5.84
-16.5,-62.5,2022,294,4.11
-18.5,-63.5,2022,295,7.57
-18.5,-62.5,2022,295,8.85
-17.5,-63.5,2022,295,7.48
-17.5,-62.5,2022,295,8.88
-16.5,-63.5,2022,295,5.15
-16.5,-62.5,2022,295,5.18
-18.5,-63.5,2022,296,9.59
-18.5,-62.5,2022,296,10.21
-17.5,-63.5,2022,296,11.08
-17.5,-62.5,2022,296,10.58
-16.5,-63.5,2022,296,10.73
-16.5,-62.5,2022,296,9.49
-18.5,-63.5,2022,297,12.17
-18.5,-62.5,2022,297,12.61
-17.5,-63.5,2022,297,12.64
-17.5,-62.5,2022,297,12.76
-16.5,-63.5,2022,297,12.64
-16.5,-62.5,2022,297,12.56
-18.5,-63.5,2022,298,12.49
-18.5,-62.5,2022,298,12.37
-17.5,-63.5,2022,298,12.36
-17.5,-62.5,2022,298,12.28
