-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.5,-63.75,2022,277,18.34
-18.5,-63.125,2022,277,22.53
-18.5,-62.5,2022,277,23.47
-18.0,-63.75,2022,277,19.1
-18.0,-63.125,2022,277,22.61
-18.0,-62.5,2022,277,23.67
-17.5,-63.75,2022,277,22.74
-17.5,-63.125,2022,277,23.53
-17.5,-62.5,2022,277,23.96
-17.0,-63.75,2022,277,24.04
-17.0,-63.125,2022,277,24.37
-17.0,-62.5,2022,277,24.3
-16.5,-63.75,2022,277,24.57
-16.5,-63.125,2022,277,24.8
-16.5,-62.5,2022,277,24.28
-18.5,-63.75,2022,278,19.29
-18.5,-63.125,2022,278,23.88
-18.5,-62.5,2022,278,24.57
-18.0,-63.75,2022,278,20.06
-18.0,-63.125,2022,278,23.92
-18.0,-62.5,2022,278,24.65
-17.5,-63.75,2022,278,23.85
-17.5,-63.125,2022,278,24.7
-17.5,-62.5,2022,278,24.69
-17.0,-63.75,2022,278,24.98
-17.0,-63.125,2022,278,25.1
-17.0,-62.5,2022,278,24.58
-16.5,-63.75,2022,278,25.22
-16.5,-63.125,2022,278,24.93
-16.5,-62.5,2022,278,24.09
-18.5,-63.75,2022,279,16.72
-18.5,-63.125,2022,279,20.34
-18.5,-62.5,2022,279,20.75
-18.0,-63.75,2022,279,17.91
-18.0,-63.125,2022,279,20.65
-18.0,-62.5,2022,279,21.29
-17.5,-63.75,2022,279,21.8
-17.5,-63.125,2022,279,21.89
-17.5,-62.5,2022,279,21.98
-17.0,-63.75,2022,279,23.68
-17.0,-63.125,2022,279,23.44
-17.0,-62.5,2022,279,22.99
-16.5,-63.75,2022,279,24.68
-16.5,-63.125,2022,279,24.51
-16.5,-62.5,2022,279,23.53
-18.5,-63.75,2022,280,13.29
-18.5,-63.125,2022,280,17.08
-18.5,-62.5,2022,280,17.1
-18.0,-63.75,2022,280,14.37
-18.0,-63.125,2022,280,17.05
-18.0,-62.5,2022,280,17.51
-17.5,-63.75,2022,280,17.45
-17.5,-63.125,2022,280,17.94
-17.5,-62.5,2022,280,17.98
-17.0,-63.75,2022,280,18.54
-17.0,-63.125,2022,280,18.63
-17.0,-62.5,2022,280,18.32
-16.5,-63.75,2022,280,19.27
-16.5,-63.125,2022,280,19.38
-16.5,-62.5,2022,280,18.49
-18.5,-63.75,2022,281,16.19
-18.5,-63.125,2022,281,20.2
-18.5,-62.5,2022,281,20.69
-18.0,-63.75,2022,281,16.72
-18.0,-63.125,2022,281,20.15
-18.0,-62.5,2022,281,20.85
-17.5,-63.75,2022,281,20.1
-17.5,-63.125,2022,281,20.92
-17.5,-62.5,2022,281,21.19
-17.0,-63.75,2022,281,21.48
-17.0,-63.125,2022,281,21.57
-17.0,-62.5,2022,281,21.57
-16.5,-63.75,2022,281,21.9
-16.5,-63.125,2022,281,22.0
-16.5,-62.5,2022,281,21.46
-18.5,-63.75,2022,282,12.74
-18.5,-63.125,2022,282,16.3
-18.5,-62.5,2022,282,17.22
-18.0,-63.75,2022,282,14.35
-18.0,-63.125,2022,282,16.96
-18.0,-62.5,2022,282,17.87
-17.5,-63.75,2022,282,18.24
-17.5,-63.125,2022,282,18.23
-17.5,-62.5,2022,282,18.49
-17.0,-63.75,2022,282,19.56
-17.0,-63.125,2022,282,19.21
-17.0,-62.5,2022,282,19.11
-16.5,-63.75,2022,282,20.57
-16.5,-63.125,2022,282,20.04
-16.5,-62.5,2022,282,19.69
-18.5,-63.75,2022,283,13.15
-18.5,-63.125,2022,283,17.16
-18.5,-62.5,2022,283,18.11
-18.0,-63.75,2022,283,14.02
-18.0,-63.125,2022,283,17.22
-18.0,-62.5,2022,283,18.3
-17.5,-63.75,2022,283,17.51
-17.5,-63.125,2022,283,18.13
-17.5,-62.5,2022,283,18.79
-17.0,-63.75,2022,283,19.09
-17.0,-63.125,2022,283,19.01
-17.0,-62.5,2022,283,19.49
-16.5,-63.75,2022,283,19.6
-16.5,-63.125,2022,283,19.79
-16.5,-62.5,2022,283,20.03
-18.5,-63.75,2022,284,16.98
-18.5,-63.125,2022,284,21.51
-18.5,-62.5,2022,284,23.16
-18.0,-63.75,2022,284,18.11
-18.0,-63.125,2022,284,21.83
-18.0,-62.5,2022,284,23.47
-17.5,-63.75,2022,284,21.89
-17.5,-63.125,2022,284,23.09
-17.5,-62.5,2022,284,23.88
-17.0,-63.75,2022,284,23.33
-17.0,-63.125,2022,284,23.74
-17.0,-62.5,2022,284,24.06
-16.5,-63.75,2022,284,23.85
-16.5,-63.125,2022,284,24.05
-16.5,-62.5,2022,284,24.02
-18.5,-63.75,2022,285,14.79
-18.5,-63.125,2022,285,19.73
-18.5,-62.5,2022,285,20.77
-18.0,-63.75,2022,285,16.97
-18.0,-63.125,2022,285,20.26
-18.0,-62.5,2022,285,21.4
-17.5,-63.75,2022,285,21.11
-17.5,-63.125,2022,285,21.51
-17.5,-62.5,2022,285,21.87
-17.0,-63.75,2022,285,22.73
-17.0,-63.125,2022,285,22.31
-17.0,-62.5,2022,285,22.16
-16.5,-63.75,2022,285,23.81
-16.5,-63.125,2022,285,22.91
-16.5,-62.5,2022,285,22.23
-18.5,-63.75,2022,286,14.94
-18.5,-63.125,2022,286,19.63
-18.5,-62.5,2022,286,20.22
-18.0,-63.75,2022,286,16.04
-18.0,-63.125,2022,286,19.66
-18.0,-62.5,2022,286,20.39
-17.5,-63.75,2022,286,19.64
-17.5,-63.125,2022,286,20.21
-17.5,-62.5,2022,286,20.52
-17.0,-63.75,2022,286,20.91
-17.0,-63.125,2022,286,20.54
-17.0,-62.5,2022,286,20.97
-16.5,-63.75,2022,286,22.19
-16.5,-63.125,2022,286,22.28
-16.5,-62.5,2022,286,21.94
-18.5,-63.75,2022,287,14.34
-18.5,-63.125,2022,287,19.3
-18.5,-62.5,2022,287,20.2
-18.0,-63.75,2022,287,15.58
-18.0,-63.125,2022,287,19.24
-18.0,-62.5,2022,287,20.23
-17.5,-63.75,2022,287,19.45
-17.5,-63.125,2022,287,20.14
-17.5,-62.5,2022,287,20.39
-17.0,-63.75,2022,287,20.74
-17.0,-63.125,2022,287,20.58
-17.0,-62.5,2022,287,20.59
-16.5,-63.75,2022,287,20.92
-16.5,-63.125,2022,287,20.85
-16.5,-62.5,2022,287,20.63
-18.5,-63.75,2022,288,14.98
-18.5,-63.125,2022,288,19.98
-18.5,-62.5,2022,288,21.12
-18.0,-63.75,2022,288,16.51
-18.0,-63.125,2022,288,20.22
-18.0,-62.5,2022,288,21.34
-17.5,-63.75,2022,288,20.31
-17.5,-63.125,2022,288,21.25
-17.5,-62.5,2022,288,21.59
-17.0,-63.75,2022,288,21.67
-17.0,-63.125,2022,288,21.91
-17.0,-62.5,2022,288,21.83
-16.5,-63.75,2022,288,22.11
-16.5,-63.125,2022,288,22.2
-16.5,-62.5,2022,288,21.91
-18.5,-63.75,2022,289,17.22
-18.5,-63.125,2022,289,22.33
-18.5,-62.5,2022,289,23.48
-18.0,-63.75,2022,289,18.41
-18.0,-63.125,2022,289,22.39
-18.0,-62.5,2022,289,23.36
-17.5,-63.75,2022,289,22.26
-17.5,-63.125,2022,289,23.14
-17.5,-62.5,2022,289,23.36
-17.0,-63.75,2022,289,23.39
-17.0,-63.125,2022,289,23.59
-17.0,-62.5,2022,289,23.46
-16.5,-63.75,2022,289,23.79
-16.5,-63.125,2022,289,23.83
-16.5,-62.5,2022,289,23.4
-18.5,-63.75,2022,290,17.75
-18.5,-63.125,2022,290,22.55
-18.5,-62.5,2022,290,23.63
-18.0,-63.75,2022,290,19.07
-18.0,-63.125,2022,290,22.71
-18.0,-62.5,2022,290,23.83
-17.5,-63.75,2022,290,23.01
-17.5,-63.125,2022,290,23.79
-17.5,-62.5,2022,290,24.07
-17.0,-63.75,2022,290,24.41
-17.0,-63.125,2022,290,24.42
-17.0,-62.5,2022,290,24.12
-16.5,-63.75,2022,290,24.67
-16.5,-63.125,2022,290,24.46
-16.5,-62.5,2022,290,23.77
-18.5,-63.75,2022,291,18.26
-18.5,-63.125,2022,291,23.0
-18.5,-62.5,2022,291,23.8
