-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2022,277,23.63
-18.5,-62.5,2022,277,21.11
-17.5,-63.5,2022,277,23.37
-17.5,-62.5,2022,277,21.07
-16.5,-63.5,2022,277,21.05
-16.5,-62.5,2022,277,22.32
-18.5,-63.5,2022,278,25.41
-18.5,-62.5,2022,278,23.98
-17.5,-63.5,2022,278,25.06
-17.5,-62.5,2022,278,23.83
-16.5,-63.5,2022,278,22.82
-16.5,-62.5,2022,278,23.8
-18.5,-63.5,2022,279,25.95
-18.5,-62.5,2022,279,25.16
-17.5,-63.5,2022,279,25.53
-17.5,-62.5,2022,279,24.83
-16.5,-63.5,2022,279,23.78
-16.5,-62.5,2022,279,23.35
-18.5,-63.5,2022,280,26.73
-18.5,-62.5,2022,280,25.27
-17.5,-63.5,2022,280,26.3
-17.5,-62.5,2022,280,24.97
-16.5,-63.5,2022,280,25.23
-16.5,-62.5,2022,280,24.44
-18.5,-63.5,2022,281,27.16
-18.5,-62.5,2022,281,26.98
-17.5,-63.5,2022,281,26.82
-17.5,-62.5,2022,281,26.66
-16.5,-63.5,2022,281,26.16
-16.5,-62.5,2022,281,26.17
-18.5,-63.5,2022,282,27.21
-18.5,-62.5,2022,282,26.93
-17.5,-63.5,2022,282,26.9
-17.5,-62.5,2022,282,26.63
-16.5,-63.5,2022,282,25.82
-16.5,-62.5,2022,282,25.5
-18.5,-63.5,2022,283,26.87
-18.5,-62.5,2022,283,26.3
-17.5,-63.5,2022,283,26.51
-17.5,-62.5,2022,283,26.0
-16.5,-63.5,2022,283,25.77
-16.5,-62.5,2022,283,25.65
-18.5,-63.5,2022,284,26.76
-18.5,-62.5,2022,284,25.83
-17.5,-63.5,2022,284,26.35
-17.5,-62.5,2022,284,25.61
-16.5,-63.5,2022,284,25.08
-16.5,-62.5,2022,284,25.83
-18.5,-63.5,2022,285,26.47
-18.5,-62.5,2022,285,25.58
-17.5,-63.5,2022,285,26.05
