-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-18.5,-63.5,2022,277,22.87
-18.5,-62.5,2022,277,20.11
-17.5,-63.5,2022,277,21.5
-17.5,-62.5,2022,277,20.08
-16.5,-63.5,2022,277,18.67
-16.5,-62.5,2022,277,18.45
-18.5,-63.5,2022,278,23.16
-18.5,-62.5,2022,278,23.19
-17.5,-63.5,2022,278,21.23
-17.5,-62.5,2022,278,21.81
-16.5,-63.5,2022,278,18.45
-16.5,-62.5,2022,278,19.1
-18.5,-63.5,2022,279,19.69
-18.5,-62.5,2022,279,17.58
-17.5,-63.5,2022,279,18.63
-17.5,-62.5,2022,279,11.49
-16.5,-63.5,2022,279,14.23
-16.5,-62.5,2022,279,12.93
-18.5,-63.5,2022,280,23.5
-18.5,-62.5,2022,280,18.16
-17.5,-63.5,2022,280,18.79
-17.5,-62.5,2022,280,16.88
-16.5,-63.5,2022,280,15.15
-16.5,-62.5,2022,280,14.69
-18.5,-63.5,2022,281,27.07
-18.5,-62.5,2022,281,26.95
-17.5,-63.5,2022,281,26.54
-17.5,-62.5,2022,281,26.63
-16.5,-63.5,2022,281,26.07
-16.5,-62.5,2022,281,25.74
-18.5,-63.5,2022,282,12.25
-18.5,-62.5,2022,282,22.34
-17.5,-63.5,2022,282,16.68
-17.5,-62.5,2022,282,20.63
-16.5,-63.5,2022,282,19.8
-16.5,-62.5,2022,282,21.18
-18.5,-63.5,2022,283,8.93
-18.5,-62.5,2022,283,10.74
-17.5,-63.5,2022,283,12.07
-17.5,-62.5,2022,283,21.06
-16.5,-63.5,2022,283,21.65
-16.5,-62.5,2022,283,21.34
-18.5,-63.5,2022,284,7.97
-18.5,-62.5,2022,284,5.61
-17.5,-63.5,2022,284,7.85
-17.5,-62.5,2022,284,11.33
-16.5,-63.5,2022,284,12.31
-16.5,-62.5,2022,284,19.19
