-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-18.73,-64.3,2022,277,-999.0
-18.73,-62.23,2022,277,-999.0
-16.35,-64.3,2022,277,-999.0
-16.35,-62.23,2022,277,-999.0
-18.73,-64.3,2022,278,-999.0
-18.73,-62.23,2022,278,-999.0
-16.35,-64.3,2022,278,-999.0
-16.35,-62.23,2022,278,-999.0
-18.73,-64.3,2022,279,-999.0
-18.73,-62.23,2022,279,-999.0
-16.35,-64.3,2022,279,-999.0
-16.35,-62.23,2022,279,-999.0
-18.73,-64.3,2022,280,-999.0
-18.73,-62.23,2022,280,-999.0
-16.35,-64.3,2022,280,-999.0
-16.35,-62.23,2022,280,-999.0
-18.73,-64.3,2022,281,-999.0
-18.73,-62.23,2022,281,-999.0
-16.35,-64.3,2022,281,-999.0
-16.35,-62.23,2022,281,-999.0
-18.73,-64.3,2022,282,-999.0
-18.73,-62.23,2022,282,-999.0
-16.35,-64.3,2022,282,-999.0
-16.35,-62.23,2022,282,-999.0
-18.73,-64.3,2022,283,-999.0
-18.73,-62.23,2022,283,-999.0
-16.35,-64.3,2022,283,-999.0
-16.35,-62.23,2022,283,-999.0
-18.73,-64.3,2022,284,-999.0
-18.73,-62.23,2022,284,-999.0
-16.35,-64.3,2022,284,-999.0
-16.35,-62.23,2022,284,-999.0
-18.73,-64.3,2022,285,-999.0
-18.73,-62.23,2022,285,-999.0
-16.35,-64.3,2022,285,-999.0
-16.35,-62.23,2022,285,-999.0
-18.73,-64.3,2022,286,-999.0
-18.73,-62.23,2022,286,-999.0
-16.35,-64.3,2022,286,-999.0
-16.35,-62.23,2022,286,-999.0
-18.73,-64.3,2022,287,-999.0
-18.73,-62.23,2022,287,-999.0
-16.35,-64.3,2022,287,-999.0
-16.35,-62.23,2022,287,-999.0
-18.73,-64.3,2022,288,-999.0
-18.73,-62.23,2022,288,-999.0
-16.35,-64.3,2022,288,-999.0
-16.35,-62.23,2022,288,-999.0
-18.73,-64.3,2022,289,-999.0
-18.73,-62.23,2022,289,-999.0
-16.35,-64.3,2022,289,-999.0
-16.35,-62.23,2022,289,-999.0
-18.73,-64.3,2022,290,-999.0
-18.73,-62.23,2022,290,-999.0
-16.35,-64.3,2022,290,-999.0
-16.35,-62.23,2022,290,-999.0
-18.73,-64.3,2022,291,-999.0
-18.73,-62.23,2022,291,-999.0
-16.35,-64.3,2022,291,-999.0
-16.35,-62.23,2022,291,-999.0
-18.73,-64.3,2022,292,-999.0
-18.73,-62.23,2022,292,-999.0
-16.35,-64.3,2022,292,-999.0
-16.35,-62.23,2022,292,-999.0
-18.73,-64.3,2022,293,-999.0
-18.73,-62.23,2022,293,-999.0
-16.35,-64.3,2022,293,-999.0
-16.35,-62.23,2022,293,-999.0
-18.73,-64.3,2022,294,-999.0
-18.73,-62.23,2022,294,-999.0
-16.35,-64.3,2022,294,-999.0
-16.35,-62.23,2022,294,-999.0
-18.73,-64.3,2022,295,-999.0
-18.73,-62.23,2022,295,-999.0
-16.35,-64.3,2022,295,-999.0
-16.35,-62.23,2022,295,-999.0
-18.73,-64.3,2022,296,-999.0
-18.73,-62.23,2022,296,-999.0
-16.35,-64.3,2022,296,-999.0
-16.35,-62.23,2022,296,-999.0
-18.73,-64.3,2022,297,-999.0
-18.73,-62.23,2022,297,-999.0
-16.35,-64.3,2022,297,-999.0
-16.35,-62.23,2022,297,-999.0
-18.73,-64.3,2022,298,-999.0
-18.73,-62.23,2022,298,-999.0
-16.35,-64.3,2022,298,-999.0
-16.35,-62.23,2022,298,-999.0
-18.73,-64.3,2022,299,-999.0
-18.73,-62.23,2022,299,-999.0
-16.35,-64.3,2022,299,-999.0
-16.35,-62.23,2022,299,-999.0
-18.73,-64.3,2022,300,-999.0
-18.73,-62.23,2022,300,-999.0
-16.35,-64.3,2022,300,-999.0
-16.35,-62.23,2022,300,-999.0
-18.73,-64.3,2022,301,-999.0
-18.73,-62.23,2022,301,-999.0
-16.35,-64.3,2022,301,-999.0
-16.35,-62.23,2022,301,-999.0
-18.73,-64.3,2022,302,-999.0
-18.73,-62.23,2022,302,-999.0
-16.35,-64.3,2022,302,-999.0
-16.35,-62.23,2022,302,-999.0
-18.73,-64.3,2022,303,-999.0
-18.73,-62.23,2022,303,-999.0
-16.35,-64.3,2022,303,-999.0
-16.35,-62.23,2022,303,-999.0
-18.73,-64.3,2022,304,-999.0
-18.73,-62.23,2022,304,-999.0
-16.35,-64.3,2022,304,-999.0
-16.35,-62.23,2022,304,-999.0
-18.73,-64.3,2022,305,-999.0
-18.73,-62.23,2022,305,-999.0
-16.35,-64.3,2022,305,-999.0
-16.35,-62.23,2022,305,-999.0
-18.73,-64.3,2022,306,-999.0
-18.73,-62.23,2022,306,-999.0
-16.35,-64.3,2022,306,-999.0
-16.35,-62.23,2022,306,-999.0
-18.73,-64.3,2022,307,-999.0
-18.73,-62.23,2022,307,-999.0
-16.35,-64.3,2022,307,-999.0
-16.35,-62.23,2022,307,-999.0
-18.73,-64.3,2022,308,-999.0
-18.73,-62.23,2022,308,-999.0
-16.35,-64.3,2022,308,-999.0
-16.35,-62.23,2022,308,-999.0
-18.73,-64.3,2022,309,-999.0
-18.73,-62.23,2022,309,-999.0
-16.35,-64.3,2022,309,-999.0
-16.35,-62.23,2022,309,-999.0
-18.73,-64.3,2022,310,-999.0
-18.73,-62.23,2022,310,-999.0
-16.35,-64.3,2022,310,-999.0
-16.35,-62.23,2022,310,-999.0
-18.73,-64.3,2022,311,-999.0
-18.73,-62.23,2022,311,-999.0
-16.35,-64.3,2022,311,-999.0
-16.35,-62.23,2022,311,-999.0
-18.73,-64.3,2022,312,-999.0
-18.73,-62.23,2022,312,-999.0
-16.35,-64.3,2022,312,-999.0
-16.35,-62.23,2022,312,-999.0
-18.73,-64.3,2022,313,-999.0
-18.73,-62.23,2022,313,-999.0
-16.35,-64.3,2022,313,-999.0
-16.35,-62.23,2022,313,-999.0
-18.73,-64.3,2022,314,-999.0
-18.73,-62.23,2022,314,-999.0
-16.35,-64.3,2022,314,-999.0
-16.35,-62.23,2022,314,-999.0
-18.73,-64.3,2022,315,-999.0
-18.73,-62.23,2022,315,-999.0
-16.35,-64.3,2022,315,-999.0
-16.35,-62.23,2022,315,-999.0
-18.73,-64.3,2022,316,-999.0
-18.73,-62.23,2022,316,-999.0
-16.35,-64.3,2022,316,-999.0
-16.35,-62.23,2022,316,-999.0
-18.73,-64.3,2022,317,-999.0
-18.73,-62.23,2022,317,-999.0
-16.35,-64.3,2022,317,-999.0
-16.35,-62.23,2022,317,-999.0
-18.73,-64.3,2022,318,-999.0
-18.73,-62.23,2022,318,-999.0
-16.35,-64.3,2022,318,-999.0
-16.35,-62.23,2022,318,-999.0
-18.73,-64.3,2022,319,-999.0
-18.73,-62.23,2022,319,-999.0
-16.35,-64.3,2022,319,-999.0
-16.35,-62.23,2022,319,-999.0
-18.73,-64.3,2022,320,-999.0
-18.73,-62.23,2022,320,-999.0
-16.35,-64.3,2022,320,-999.0
-16.35,-62.23,2022,320,-999.0
-18.73,-64.3,2022,321,-999.0
