-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-17.5,-63.5,2023,299,24.33
-17.5,-62.5,2023,299,22.76
-16.5,-63.5,2023,299,20.28
-16.5,-62.5,2023,299,23.05
-18.5,-63.5,2023,300,25.5
-18.5,-62.5,2023,300,24.83
-17.5,-63.5,2023,300,25.35
-17.5,-62.5,2023,300,24.64
-16.5,-63.5,2023,300,22.96
-16.5,-62.5,2023,300,24.93
-18.5,-63.5,2023,301,25.49
-18.5,-62.5,2023,301,24.54
-17.5,-63.5,2023,301,25.17
-17.5,-62.5,2023,301,24.43
-16.5,-63.5,2023,301,25.18
-16.5,-62.5,2023,301,24.51
-18.5,-63.5,2023,302,28.61
-18.5,-62.5,2023,302,26.03
-17.5,-63.5,2023,302,28.01
-17.5,-62.5,2023,302,25.99
-16.5,-63.5,2023,302,26.12
-16.5,-62.5,2023,302,25.54
-18.5,-63.5,2023,303,28.81
-18.5,-62.5,2023,303,27.63
-17.5,-63.5,2023,303,28.37
-17.5,-62.5,2023,303,27.47
-16.5,-63.5,2023,303,26.94
-16.5,-62.5,2023,303,26.67
-18.5,-63.5,2023,304,27.55
-18.5,-62.5,2023,304,26.49
-17.5,-63.5,2023,304,27.16
-17.5,-62.5,2023,304,26.23
-16.5,-63.5,2023,304,25.16
-16.5,-62.5,2023,304,24.88
-18.5,-63.5,2023,305,27.29
-18.5,-62.5,2023,305,25.09
-17.5,-63.5,2023,305,26.97
-17.5,-62.5,2023,305,25.12
-16.5,-63.5,2023,305,24.6
-16.5,-62.5,2023,305,24.11
-18.5,-63.5,2023,306,27.73
-18.5,-62.5,2023,306,25.72
-17.5,-63.5,2023,306,27.42
-17.5,-62.5,2023,306,25.62
-16.5,-63.5,2023,306,25.08
-16.5,-62.5,2023,306,24.04
-18.5,-63.5,2023,307,28.09
-18.5,-62.5,2023,307,27.81
-17.5,-63.5,2023,307,27.69
-17.5,-62.5,2023,307,27.53
-16.5,-63.5,2023,307,27.23
-16.5,-62.5,2023,307,26.7
-18.5,-63.5,2023,308,27.89
-18.5,-62.5,2023,308,29.15
-17.5,-63.5,2023,308,27.57
-17.5,-62.5,2023,308,28.49
-16.5,-63.5,2023,308,27.49
-16.5,-62.5,2023,308,28.1
-18.5,-63.5,2023,309,28.34
-18.5,-62.5,2023,309,27.52
-17.5,-63.5,2023,309,28.02
-17.5,-62.5,2023,309,27.31
-16.5,-63.5,2023,309,26.78
-16.5,-62.5,2023,309,25.98
-18.5,-63.5,2023,310,25.72
-18.5,-62.5,2023,310,24.51
-17.5,-63.5,2023,310,25.36
-17.5,-62.5,2023,310,24.51
-16.5,-63.5,2023,310,24.87
-16.5,-62.5,2023,310,23.73
-18.5,-63.5,2023,311,26.1
-18.5,-62.5,2023,311,26.37
-17.5,-63.5,2023,311,25.76
-17.5,-62.5,2023,311,26.22
-16.5,-63.5,2023,311,25.53
-16.5,-62.5,2023,311,26.36
-18.5,-63.5,2023,312,27.9
-18.5,-62.5,2023,312,27.37
-17.5,-63.5,2023,312,27.37
-17.5,-62.5,2023,312,27.13
-16.5,-63.5,2023,312,26.84
-16.5,-62.5,2023,312,27.29
-18.5,-63.5,2023,313,28.48
-18.5,-62.5,2023,313,27.75
-17.5,-63.5,2023,313,27.92
-17.5,-62.5,2023,313,27.46
-16.5,-63.5,2023,313,27.4
-16.5,-62.5,2023,313,27.1
-18.5,-63.5,2023,314,27.31
-18.5,-62.5,2023,314,26.44
-17.5,-63.5,2023,314,26.79
-17.5,-62.5,2023,314,26.29
-16.5,-63.5,2023,314,26.02
-16.5,-62.5,2023,314,26.27
-18.5,-63.5,2023,315,26.76
-18.5,-62.5,2023,315,26.74
-17.5,-63.5,2023,315,26.31
-17.5,-62.5,2023,315,26.63
-16.5,-63.5,2023,315,26.24
-16.5,-62.5,2023,315,27.04
-18.5,-63.5,2023,316,25.42
-18.5,-62.5,2023,316,24.94
-17.5,-63.5,2023,316,25.11
-17.5,-62.5,2023,316,24.93
-16.5,-63.5,2023,316,24.64
-16.5,-62.5,2023,316,25.82
-18.5,-63.5,2023,317,25.47
-18.5,-62.5,2023,317,25.65
-17.5,-63.5,2023,317,25.07
-17.5,-62.5,2023,317,25.5
-16.5,-63.5,2023,317,25.49
-16.5,-62.5,2023,317,26.26
-18.5,-63.5,2023,318,26.06
-18.5,-62.5,2023,318,25.55
-17.5,-63.5,2023,318,25.68
-17.5,-62.5,2023,318,25.46
-16.5,-63.5,2023,318,25.23
-16.5,-62.5,2023,318,25.69
-18.5,-63.5,2023,319,27.18
-18.5,-62.5,2023,319,25.96
