-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-17.5,-63.5,2023,299,7.58
-17.5,-62.5,2023,299,11.73
-16.5,-63.5,2023,299,8.63
-16.5,-62.5,2023,299,11.79
-18.5,-63.5,2023,300,17.35
-18.5,-62.5,2023,300,16.58
-17.5,-63.5,2023,300,11.57
-17.5,-62.5,2023,300,16.77
-16.5,-63.5,2023,300,15.51
-16.5,-62.5,2023,300,17.57
-18.5,-63.5,2023,301,8.8
-18.5,-62.5,2023,301,13.0
-17.5,-63.5,2023,301,10.2
-17.5,-62.5,2023,301,13.24
-16.5,-63.5,2023,301,14.33
-16.5,-62.5,2023,301,15.63
-18.5,-63.5,2023,302,27.08
-18.5,-62.5,2023,302,22.34
-17.5,-63.5,2023,302,18.31
-17.5,-62.5,2023,302,20.38
-16.5,-63.5,2023,302,19.48
-16.5,-62.5,2023,302,17.36
-18.5,-63.5,2023,303,25.14
-18.5,-62.5,2023,303,24.9
-17.5,-63.5,2023,303,22.16
-17.5,-62.5,2023,303,25.7
-16.5,-63.5,2023,303,24.83
-16.5,-62.5,2023,303,22.94
-18.5,-63.5,2023,304,16.05
-18.5,-62.5,2023,304,12.56
-17.5,-63.5,2023,304,4.78
-17.5,-62.5,2023,304,12.46
-16.5,-63.5,2023,304,5.3
-16.5,-62.5,2023,304,11.89
-18.5,-63.5,2023,305,19.81
-18.5,-62.5,2023,305,19.58
-17.5,-63.5,2023,305,18.27
-17.5,-62.5,2023,305,19.59
-16.5,-63.5,2023,305,19.03
-16.5,-62.5,2023,305,17.74
-18.5,-63.5,2023,306,26.99
-18.5,-62.5,2023,306,25.23
-17.5,-63.5,2023,306,25.62
-17.5,-62.5,2023,306,24.68
-16.5,-63.5,2023,306,23.46
-16.5,-62.5,2023,306,21.91
-18.5,-63.5,2023,307,5.48
-18.5,-62.5,2023,307,11.28
-17.5,-63.5,2023,307,9.8
-17.5,-62.5,2023,307,12.96
-16.5,-63.5,2023,307,18.18
-16.5,-62.5,2023,307,19.43
-18.5,-63.5,2023,308,14.13
-18.5,-62.5,2023,308,20.63
-17.5,-63.5,2023,308,16.05
-17.5,-62.5,2023,308,21.44
-16.5,-63.5,2023,308,20.13
-16.5,-62.5,2023,308,22.13
-18.5,-63.5,2023,309,27.97
-18.5,-62.5,2023,309,26.73
-17.5,-63.5,2023,309,27.56
-17.5,-62.5,2023,309,27.24
-16.5,-63.5,2023,309,26.56
-16.5,-62.5,2023,309,25.6
-18.5,-63.5,2023,310,24.66
-18.5,-62.5,2023,310,24.37
-17.5,-63.5,2023,310,24.87
-17.5,-62.5,2023,310,24.3
-16.5,-63.5,2023,310,24.74
-16.5,-62.5,2023,310,22.65
-18.5,-63.5,2023,311,23.05
-18.5,-62.5,2023,311,22.64
-17.5,-63.5,2023,311,22.05
-17.5,-62.5,2023,311,23.28
-16.5,-63.5,2023,311,22.29
-16.5,-62.5,2023,311,22.13
-18.5,-63.5,2023,312,25.98
-18.5,-62.5,2023,312,25.6
-17.5,-63.5,2023,312,24.54
-17.5,-62.5,2023,312,26.39
-16.5,-63.5,2023,312,23.64
-16.5,-62.5,2023,312,24.17
-18.5,-63.5,2023,313,25.64
-18.5,-62.5,2023,313,24.65
-17.5,-63.5,2023,313,24.41
-17.5,-62.5,2023,313,24.32
-16.5,-63.5,2023,313,23.52
-16.5,-62.5,2023,313,24.0
-18.5,-63.5,2023,314,26.43
-18.5,-62.5,2023,314,24.98
-17.5,-63.5,2023,314,24.21
-17.5,-62.5,2023,314,24.34
-16.5,-63.5,2023,314,22.57
-16.5,-62.5,2023,314,21.63
-18.5,-63.5,2023,315,25.76
-18.5,-62.5,2023,315,25.24
-17.5,-63.5,2023,315,24.77
-17.5,-62.5,2023,315,24.98
-16.5,-63.5,2023,315,23.79
-16.5,-62.5,2023,315,23.44
-18.5,-63.5,2023,316,23.81
-18.5,-62.5,2023,316,22.62
-17.5,-63.5,2023,316,21.47
-17.5,-62.5,2023,316,21.79
-16.5,-63.5,2023,316,21.09
-16.5,-62.5,2023,316,21.15
-18.5,-63.5,2023,317,19.26
-18.5,-62.5,2023,317,20.34
-17.5,-63.5,2023,317,19.19
-17.5,-62.5,2023,317,22.33
-16.5,-63.5,2023,317,20.33
-16.5,-62.5,2023,317,23.47
-18.5,-63.5,2023,318,22.99
-18.5,-62.5,2023,318,21.14
-17.5,-63.5,2023,318,19.57
-17.5,-62.5,2023,318,20.31
-16.5,-63.5,2023,318,20.7
-16.5,-62.5,2023,318,20.65
-18.5,-63.5,2023,319,26.04
-18.5,-62.5,2023,319,25.36
-17.5,-63.5,2023,319,23.69
-17.5,-62.5,2023,319,24.81
-16.5,-63.5,2023,319,22.75
-16.5,-62.5,2023,319,22.33
-18.5,-63.5,2023,320,24.14
-18.5,-62.5,2023,320,24.45
-17.5,-63.5,2023,320,22.15
-17.5,-62.5,2023,320,24.09
-16.5,-63.5,2023,320,22.9
-16.5,-62.5,2023,320,21.84
-18.5,-63.5,2023,321,23.17
-18.5,-62.5,2023,321,22.3
-17.5,-63.5,2023,321,19.75
-17.5,-62.5,2023,321,21.54
-16.5,-63.5,2023,321,20.56
-16.5,-62.5,2023,321,19.9
-18.5,-63.5,2023,322,22.24
-18.5,-62.5,2023,322,18.27
-17.5,-63.5,2023,322,21.83
-17.5,-62.5,2023,322,19.25
-16.5,-63.5,2023,322,20.14
-16.5,-62.5,2023,322,16.08
-18.5,-63.5,2023,323,12.38
-18.5,-62.5,2023,323,7.07
-17.5,-63.5,2023,323,8.13
-17.5,-62.5,2023,323,8.35
-16.5,-63.5,2023,323,8.54
-16.5,-62.5,2023,323,7.55
-18.5,-63.5,2023,324,11.32
-18.5,-62.5,2023,324,6.79
-17.5,-63.5,2023,324,4.68
-17.5,-62.5,2023,324,6.09
-16.5,-63.5,2023,324,6.8
-16.5,-62.5,2023,324,7.13
-18.5,-63.5,2023,325,19.72
-18.5,-62.5,2023,325,16.73
-17.5,-63.5,2023,325,9.75
-17.5,-62.5,2023,325,14.92
-16.5,-63.5,2023,325,13.38
-16.5,-62.5,2023,325,16.5
-18.5,-63.5,2023,326,22.07
-18.5,-62.5,2023,326,20.45
-17.5,-63.5,2023,326,14.42
-17.5,-62.5,2023,326,19.47
-16.5,-63.5,2023,326,18.63
-16.5,-62.5,2023,326,19.59
-18.5,-63.5,2023,327,13.67
-18.5,-62.5,2023,327,14.47
-17.5,-63.5,2023,327,16.09
-17.5,-62.5,2023,327,16.49
-16.5,-63.5,2023,327,17.32
-16.5,-62.5,2023,327,16.78
-18.5,-63.5,2023,328,8.01
-18.5,-62.5,2023,328,8.25
-17.5,-63.5,2023,328,7.35
-17.5,-62.5,2023,328,5.99
