-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-17.5,-63.125,2023,287,21.98
-17.5,-62.5,2023,287,22.18
-17.0,-63.75,2023,287,22.6
-17.0,-63.125,2023,287,22.78
-17.0,-62.5,2023,287,22.72
-16.5,-63.75,2023,287,23.25
-16.5,-63.125,2023,287,23.43
-16.5,-62.5,2023,287,23.07
-18.5,-63.75,2023,288,17.81
-18.5,-63.125,2023,288,22.69
-18.5,-62.5,2023,288,24.31
-18.0,-63.75,2023,288,18.84
-18.0,-63.125,2023,288,22.84
-18.0,-62.5,2023,288,24.7
-17.5,-63.75,2023,288,22.57
-17.5,-63.125,2023,288,24.09
-17.5,-62.5,2023,288,25.11
-17.0,-63.75,2023,288,24.44
-17.0,-63.125,2023,288,25.08
-17.0,-62.5,2023,288,25.37
-16.5,-63.75,2023,288,24.98
-16.5,-63.125,2023,288,25.57
-16.5,-62.5,2023,288,25.27
-18.5,-63.75,2023,289,19.08
-18.5,-63.125,2023,289,24.17
-18.5,-62.5,2023,289,25.59
-18.0,-63.75,2023,289,20.17
-18.0,-63.125,2023,289,24.37
-18.0,-62.5,2023,289,25.77
-17.5,-63.75,2023,289,23.92
-17.5,-63.125,2023,289,25.4
-17.5,-62.5,2023,289,25.88
-17.0,-63.75,2023,289,25.75
-17.0,-63.125,2023,289,26.24
-17.0,-62.5,2023,289,25.95
-16.5,-63.75,2023,289,26.2
-16.5,-63.125,2023,289,26.45
-16.5,-62.5,2023,289,25.47
-18.5,-63.75,2023,290,19.92
-18.5,-63.125,2023,290,24.86
-18.5,-62.5,2023,290,25.55
-18.0,-63.75,2023,290,20.75
-18.0,-63.125,2023,290,24.73
-18.0,-62.5,2023,290,25.58
-17.5,-63.75,2023,290,24.41
-17.5,-63.125,2023,290,25.48
-17.5,-62.5,2023,290,25.68
-17.0,-63.75,2023,290,25.83
-17.0,-63.125,2023,290,26.01
-17.0,-62.5,2023,290,25.76
-16.5,-63.75,2023,290,26.05
-16.5,-63.125,2023,290,26.04
-16.5,-62.5,2023,290,25.24
-18.5,-63.75,2023,291,19.01
-18.5,-63.125,2023,291,23.95
