-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-17.5,-63.5,2023,299,3.57
-17.5,-62.5,2023,299,5.31
-16.5,-63.5,2023,299,3.86
-16.5,-62.5,2023,299,5.35
-18.5,-63.5,2023,300,7.9
-18.5,-62.5,2023,300,7.93
-17.5,-63.5,2023,300,5.37
-17.5,-62.5,2023,300,7.64
-16.5,-63.5,2023,300,7.0
-16.5,-62.5,2023,300,8.07
-18.5,-63.5,2023,301,4.17
-18.5,-62.5,2023,301,6.49
-17.5,-63.5,2023,301,4.77
-17.5,-62.5,2023,301,6.1
-16.5,-63.5,2023,301,6.68
-16.5,-62.5,2023,301,7.21
-18.5,-63.5,2023,302,12.39
-18.5,-62.5,2023,302,10.5
-17.5,-63.5,2023,302,8.47
-17.5,-62.5,2023,302,9.35
-16.5,-63.5,2023,302,9.01
-16.5,-62.5,2023,302,8.04
-18.5,-63.5,2023,303,11.58
-18.5,-62.5,2023,303,11.76
-17.5,-63.5,2023,303,10.24
-17.5,-62.5,2023,303,11.87
-16.5,-63.5,2023,303,11.5
-16.5,-62.5,2023,303,10.59
-18.5,-63.5,2023,304,7.43
-18.5,-62.5,2023,304,6.33
-17.5,-63.5,2023,304,2.42
-17.5,-62.5,2023,304,5.9
-16.5,-63.5,2023,304,2.62
-16.5,-62.5,2023,304,5.52
-18.5,-63.5,2023,305,9.12
-18.5,-62.5,2023,305,9.25
-17.5,-63.5,2023,305,8.46
-17.5,-62.5,2023,305,8.92
-16.5,-63.5,2023,305,8.78
-16.5,-62.5,2023,305,8.09
-18.5,-63.5,2023,306,12.28
-18.5,-62.5,2023,306,11.54
-17.5,-63.5,2023,306,11.76
-17.5,-62.5,2023,306,11.14
-16.5,-63.5,2023,306,10.65
-16.5,-62.5,2023,306,9.83
-18.5,-63.5,2023,307,2.8
-18.5,-62.5,2023,307,5.81
-17.5,-63.5,2023,307,4.73
-17.5,-62.5,2023,307,6.1
-16.5,-63.5,2023,307,8.51
-16.5,-62.5,2023,307,8.99
-18.5,-63.5,2023,308,6.5
-18.5,-62.5,2023,308,9.81
-17.5,-63.5,2023,308,7.32
-17.5,-62.5,2023,308,9.83
-16.5,-63.5,2023,308,9.28
-16.5,-62.5,2023,308,10.23
-18.5,-63.5,2023,309,12.52
-18.5,-62.5,2023,309,12.17
-17.5,-63.5,2023,309,12.42
-17.5,-62.5,2023,309,12.27
-16.5,-63.5,2023,309,11.97
-16.5,-62.5,2023,309,11.46
-18.5,-63.5,2023,310,10.91
-18.5,-62.5,2023,310,10.94
-17.5,-63.5,2023,310,11.1
-17.5,-62.5,2023,310,10.81
-16.5,-63.5,2023,310,11.07
-16.5,-62.5,2023,310,10.08
-18.5,-63.5,2023,311,10.31
-18.5,-62.5,2023,311,10.58
-17.5,-63.5,2023,311,9.95
-17.5,-62.5,2023,311,10.57
-16.5,-63.5,2023,311,10.1
-16.5,-62.5,2023,311,10.11
-18.5,-63.5,2023,312,11.71
-18.5,-62.5,2023,312,11.85
-17.5,-63.5,2023,312,11.18
-17.5,-62.5,2023,312,12.06
-16.5,-63.5,2023,312,10.86
-16.5,-62.5,2023,312,11.12
-18.5,-63.5,2023,313,11.58
-18.5,-62.5,2023,313,11.53
-17.5,-63.5,2023,313,11.17
-17.5,-62.5,2023,313,11.14
-16.5,-63.5,2023,313,10.85
-16.5,-62.5,2023,313,11.03
-18.5,-63.5,2023,314,11.87
-18.5,-62.5,2023,314,11.55
-17.5,-63.5,2023,314,11.05
-17.5,-62.5,2023,314,11.13
-16.5,-63.5,2023,314,10.4
-16.5,-62.5,2023,314,9.97
-18.5,-63.5,2023,315,11.56
-18.5,-62.5,2023,315,11.66
-17.5,-63.5,2023,315,11.26
-17.5,-62.5,2023,315,11.35
-16.5,-63.5,2023,315,10.89
-16.5,-62.5,2023,315,10.74
-18.5,-63.5,2023,316,10.63
-18.5,-62.5,2023,316,10.33
-17.5,-63.5,2023,316,9.64
-17.5,-62.5,2023,316,9.83
-16.5,-63.5,2023,316,9.58
-16.5,-62.5,2023,316,9.66
-18.5,-63.5,2023,317,8.72
-18.5,-62.5,2023,317,9.53
-17.5,-63.5,2023,317,8.77
-17.5,-62.5,2023,317,10.16
-16.5,-63.5,2023,317,9.38
-16.5,-62.5,2023,317,10.75
-18.5,-63.5,2023,318,10.33
-18.5,-62.5,2023,318,9.81
-17.5,-63.5,2023,318,8.9
-17.5,-62.5,2023,318,9.2
-16.5,-63.5,2023,318,9.45
-16.5,-62.5,2023,318,9.4
-18.5,-63.5,2023,319,11.73
-18.5,-62.5,2023,319,11.57
-17.5,-63.5,2023,319,10.81
-17.5,-62.5,2023,319,11.2
-16.5,-63.5,2023,319,10.35
-16.5,-62.5,2023,319,10.1
-18.5,-63.5,2023,320,11.01
-18.5,-62.5,2023,320,11.27
-17.5,-63.5,2023,320,10.15
-17.5,-62.5,2023,320,10.87
-16.5,-63.5,2023,320,10.44
-16.5,-62.5,2023,320,9.82
-18.5,-63.5,2023,321,10.5
-18.5,-62.5,2023,321,10.17
-17.5,-63.5,2023,321,8.92
-17.5,-62.5,2023,321,9.59
-16.5,-63.5,2023,321,9.29
-16.5,-62.5,2023,321,8.74
-18.5,-63.5,2023,322,10.21
-18.5,-62.5,2023,322,8.51
-17.5,-63.5,2023,322,10.08
-17.5,-62.5,2023,322,8.61
-16.5,-63.5,2023,322,9.18
-16.5,-62.5,2023,322,7.18
-18.5,-63.5,2023,323,5.81
-18.5,-62.5,2023,323,3.53
-17.5,-63.5,2023,323,3.93
-17.5,-62.5,2023,323,3.91
-16.5,-63.5,2023,323,4.11
-16.5,-62.5,2023,323,3.59
-18.5,-63.5,2023,324,5.09
-18.5,-62.5,2023,324,3.37
-17.5,-63.5,2023,324,2.29
-17.5,-62.5,2023,324,2.86
-16.5,-63.5,2023,324,3.26
-16.5,-62.5,2023,324,3.35
-18.5,-63.5,2023,325,8.89
-18.5,-62.5,2023,325,7.7
-17.5,-63.5,2023,325,4.55
-17.5,-62.5,2023,325,6.75
-16.5,-63.5,2023,325,6.23
-16.5,-62.5,2023,325,7.58
-18.5,-63.5,2023,326,10.19
-18.5,-62.5,2023,326,9.59
-17.5,-63.5,2023,326,6.74
-17.5,-62.5,2023,326,8.89
-16.5,-63.5,2023,326,8.71
-16.5,-62.5,2023,326,8.99
-18.5,-63.5,2023,327,6.37
-18.5,-62.5,2023,327,7.05
-17.5,-63.5,2023,327,7.46
-17.5,-62.5,2023,327,7.54
-16.5,-63.5,2023,327,8.1
-16.5,-62.5,2023,327,7.82
-18.5,-63.5,2023,328,3.85
-18.5,-62.5,2023,328,4.32
-17.5,-63.5,2023,328,3.57
-17.5,-62.5,2023,328,2.99
-16.5,-63.5,2023,328,2.98
-16.5,-62.5,2023,328,2.08
-18.5,-63.5,2023,329,5.78
-18.5,-62.5,2023,329,6.56
-17.5,-63.5,2023,329,6.57
-17.5,-62.5,2023,329,7.01
-16.5,-63.5,2023,329,6.97
-16.5,-62.5,2023,329,6.01
-18.5,-63.5,2023,330,9.69
-18.5,-62.5,2023,330,10.49
-17.5,-63.5,2023,330,10.43
-17.5,-62.5,2023,330,10.03
-16.5,-63.5,2023,330,8.84
-16.5,-62.5,2023,330,8.75
-18.5,-63.5,2023,331,9.23
-18.5,-62.5,2023,331,9.29
-17.5,-63.5,2023,331,7.19
-17.5,-62.5,2023,331,9.91
-16.5,-63.5,2023,331,9.38
-16.5,-62.5,2023,331,9.86
-18.5,-63.5,2023,332,12.48
-18.5,-62.5,2023,332,12.1
-17.5,-63.5,2023,332,9.52
