-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-18.5,-63.5,2024,278,7.92
-18.5,-62.5,2024,278,7.89
-17.5,-63.5,2024,278,7.68
-17.5,-62.5,2024,278,7.9
-16.5,-63.5,2024,278,6.93
-16.5,-62.5,2024,278,8.65
-18.5,-63.5,2024,279,8.84
-18.5,-62.5,2024,279,7.83
-17.5,-63.5,2024,279,8.32
-17.5,-62.5,2024,279,7.79
-16.5,-63.5,2024,279,6.66
-16.5,-62.5,2024,279,7.4
-18.5,-63.5,2024,280,8.17
-18.5,-62.5,2024,280,5.51
-17.5,-63.5,2024,280,7.87
-17.5,-62.5,2024,280,4.57
-16.5,-63.5,2024,280,4.86
-16.5,-62.5,2024,280,4.76
-18.5,-63.5,2024,281,6.85
-18.5,-62.5,2024,281,4.65
-17.5,-63.5,2024,281,5.81
-17.5,-62.5,2024,281,4.38
-16.5,-63.5,2024,281,4.14
-16.5,-62.5,2024,281,5.1
-18.5,-63.5,2024,282,6.93
-18.5,-62.5,2024,282,6.83
-17.5,-63.5,2024,282,7.12
-17.5,-62.5,2024,282,7.22
-16.5,-63.5,2024,282,6.27
-16.5,-62.5,2024,282,8.01
-18.5,-63.5,2024,283,3.53
-18.5,-62.5,2024,283,3.2
-17.5,-63.5,2024,283,3.24
-17.5,-62.5,2024,283,3.53
-16.5,-63.5,2024,283,3.29
-16.5,-62.5,2024,283,4.96
-18.5,-63.5,2024,284,4.81
-18.5,-62.5,2024,284,4.56
-17.5,-63.5,2024,284,5.02
-17.5,-62.5,2024,284,5.57
-16.5,-63.5,2024,284,8.03
-16.5,-62.5,2024,284,6.75
-18.5,-63.5,2024,285,7.68
-18.5,-62.5,2024,285,8.72
-17.5,-63.5,2024,285,7.67
-17.5,-62.5,2024,285,9.88
-16.5,-63.5,2024,285,9.71
-16.5,-62.5,2024,285,8.84
-18.5,-63.5,2024,286,9.23
-18.5,-62.5,2024,286,8.22
-17.5,-63.5,2024,286,10.52
-17.5,-62.5,2024,286,8.86
-16.5,-63.5,2024,286,8.16
-16.5,-62.5,2024,286,6.34
-18.5,-63.5,2024,287,8.68
-18.5,-62.5,2024,287,5.05
-17.5,-63.5,2024,287,8.73
-17.5,-62.5,2024,287,4.98
-16.5,-63.5,2024,287,6.98
-16.5,-62.5,2024,287,5.22
-18.5,-63.5,2024,288,6.08
-18.5,-62.5,2024,288,4.07
-17.5,-63.5,2024,288,4.97
-17.5,-62.5,2024,288,3.07
-16.5,-63.5,2024,288,2.77
-16.5,-62.5,2024,288,3.36
-18.5,-63.5,2024,289,7.31
-18.5,-62.5,2024,289,7.06
-17.5,-63.5,2024,289,7.57
-17.5,-62.5,2024,289,6.69
-16.5,-63.5,2024,289,5.89
-16.5,-62.5,2024,289,6.2
-18.5,-63.5,2024,290,3.38
-18.5,-62.5,2024,290,2.25
-17.5,-63.5,2024,290,3.1
