-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-18.5,-63.5,2024,278,19.31
-18.5,-62.5,2024,278,18.89
-17.5,-63.5,2024,278,18.68
-17.5,-62.5,2024,278,19.27
-16.5,-63.5,2024,278,17.2
-16.5,-62.5,2024,278,20.57
-18.5,-63.5,2024,279,20.91
-18.5,-62.5,2024,279,18.04
-17.5,-63.5,2024,279,19.3
-17.5,-62.5,2024,279,18.81
-16.5,-63.5,2024,279,15.97
-16.5,-62.5,2024,279,17.8
-18.5,-63.5,2024,280,19.9
-18.5,-62.5,2024,280,13.98
-17.5,-63.5,2024,280,18.89
-17.5,-62.5,2024,280,11.9
-16.5,-63.5,2024,280,13.25
-16.5,-62.5,2024,280,12.71
-18.5,-63.5,2024,281,17.23
-18.5,-62.5,2024,281,11.56
-17.5,-63.5,2024,281,14.22
-17.5,-62.5,2024,281,11.23
-16.5,-63.5,2024,281,10.54
-16.5,-62.5,2024,281,12.13
-18.5,-63.5,2024,282,16.24
-18.5,-62.5,2024,282,15.61
-17.5,-63.5,2024,282,16.64
-17.5,-62.5,2024,282,17.23
-16.5,-63.5,2024,282,14.6
-16.5,-62.5,2024,282,18.29
-18.5,-63.5,2024,283,7.68
-18.5,-62.5,2024,283,6.95
-17.5,-63.5,2024,283,6.99
-17.5,-62.5,2024,283,8.22
-16.5,-63.5,2024,283,7.14
-16.5,-62.5,2024,283,11.11
-18.5,-63.5,2024,284,10.98
-18.5,-62.5,2024,284,10.05
-17.5,-63.5,2024,284,11.34
-17.5,-62.5,2024,284,13.13
-16.5,-63.5,2024,284,17.71
-16.5,-62.5,2024,284,15.34
-18.5,-63.5,2024,285,16.76
-18.5,-62.5,2024,285,18.46
-17.5,-63.5,2024,285,16.67
-17.5,-62.5,2024,285,21.68
-16.5,-63.5,2024,285,21.31
-16.5,-62.5,2024,285,19.72
-18.5,-63.5,2024,286,20.29
-18.5,-62.5,2024,286,18.45
-17.5,-63.5,2024,286,23.04
-17.5,-62.5,2024,286,20.4
-16.5,-63.5,2024,286,18.84
-16.5,-62.5,2024,286,15.64
-18.5,-63.5,2024,287,20.47
-18.5,-62.5,2024,287,13.48
-17.5,-63.5,2024,287,20.41
-17.5,-62.5,2024,287,13.54
-16.5,-63.5,2024,287,17.0
-16.5,-62.5,2024,287,13.66
-18.5,-63.5,2024,288,14.93
-18.5,-62.5,2024,288,9.71
-17.5,-63.5,2024,288,11.8
-17.5,-62.5,2024,288,7.59
-16.5,-63.5,2024,288,6.4
