-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.5,-63.75,2024,278,15.25
-18.5,-63.125,2024,278,18.24
-18.5,-62.5,2024,278,18.67
-18.0,-63.75,2024,278,16.34
-18.0,-63.125,2024,278,18.53
-18.0,-62.5,2024,278,19.09
-17.5,-63.75,2024,278,19.63
-17.5,-63.125,2024,278,19.45
-17.5,-62.5,2024,278,19.57
-17.0,-63.75,2024,278,20.62
-17.0,-63.125,2024,278,20.12
-17.0,-62.5,2024,278,20.0
-16.5,-63.75,2024,278,20.74
-16.5,-63.125,2024,278,20.68
-16.5,-62.5,2024,278,20.43
-18.5,-63.75,2024,279,17.61
-18.5,-63.125,2024,279,21.97
-18.5,-62.5,2024,279,22.55
-18.0,-63.75,2024,279,18.54
-18.0,-63.125,2024,279,21.96
-18.0,-62.5,2024,279,22.68
-17.5,-63.75,2024,279,21.95
-17.5,-63.125,2024,279,22.6
-17.5,-62.5,2024,279,22.87
-17.0,-63.75,2024,279,22.96
-17.0,-63.125,2024,279,22.91
-17.0,-62.5,2024,279,23.53
-16.5,-63.75,2024,279,23.22
-16.5,-63.125,2024,279,23.46
-16.5,-62.5,2024,279,23.59
-18.5,-63.75,2024,280,18.97
-18.5,-63.125,2024,280,23.33
-18.5,-62.5,2024,280,23.99
-18.0,-63.75,2024,280,19.83
-18.0,-63.125,2024,280,23.19
-18.0,-62.5,2024,280,24.04
-17.5,-63.75,2024,280,23.24
-17.5,-63.125,2024,280,23.77
-17.5,-62.5,2024,280,24.17
-17.0,-63.75,2024,280,24.19
-17.0,-63.125,2024,280,24.12
-17.0,-62.5,2024,280,24.53
-16.5,-63.75,2024,280,24.34
-16.5,-63.125,2024,280,24.44
-16.5,-62.5,2024,280,24.14
-18.5,-63.75,2024,281,18.59
-18.5,-63.125,2024,281,23.54
-18.5,-62.5,2024,281,24.6
-18.0,-63.75,2024,281,19.58
-18.0,-63.125,2024,281,23.48
-18.0,-62.5,2024,281,24.7
-17.5,-63.75,2024,281,23.06
-17.5,-63.125,2024,281,23.94
-17.5,-62.5,2024,281,24.78
-17.0,-63.75,2024,281,24.53
-17.0,-63.125,2024,281,24.66
-17.0,-62.5,2024,281,25.0
-16.5,-63.75,2024,281,24.79
-16.5,-63.125,2024,281,25.01
-16.5,-62.5,2024,281,24.41
-18.5,-63.75,2024,282,19.52
-18.5,-63.125,2024,282,24.38
-18.5,-62.5,2024,282,25.15
-18.0,-63.75,2024,282,20.41
-18.0,-63.125,2024,282,24.27
-18.0,-62.5,2024,282,25.31
-17.5,-63.75,2024,282,23.97
-17.5,-63.125,2024,282,25.2
-17.5,-62.5,2024,282,25.72
-17.0,-63.75,2024,282,25.31
-17.0,-63.125,2024,282,25.82
-17.0,-62.5,2024,282,25.86
-16.5,-63.75,2024,282,25.64
-16.5,-63.125,2024,282,25.97
-16.5,-62.5,2024,282,25.05
-18.5,-63.75,2024,283,19.01
-18.5,-63.125,2024,283,24.44
-18.5,-62.5,2024,283,24.95
-18.0,-63.75,2024,283,20.14
-18.0,-63.125,2024,283,24.34
